GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,,S1901_C01_002E,S1901_C01_002M,,S1901_C01_003E,S1901_C01_003M,,S1901_C01_004E,S1901_C01_004M,,S1901_C01_005E,S1901_C01_005M,,S1901_C01_006E,S1901_C01_006M,,S1901_C01_007E,S1901_C01_007M,,S1901_C01_008E,S1901_C01_008M,,S1901_C01_009E,S1901_C01_009M,,S1901_C01_010E,S1901_C01_010M,,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
8600000US93060,ZCTA5 93060,9953,627,22.572,3.6,17.2,437.932,4.4,1.7,895.77,9,1.9,995.3,10,2.4,1194.36,12,2.9,2139.895,21.5,5.1,1602.433,16.1,3,1303.843,13.1,2.2,617.086,6.2,1.6,408.073,4.1,1.4,63573,2094,77335,4683,47.2,(X),(X),(X),(X),(X),7431,398,4.1,1.8,2.4,1.6,8.6,2.2,10.5,2.7,12.9,3.6,17.5,3.4,16.3,3.1,16.3,2.9,6.6,1.7,4.8,1.8,66628,3140,82647,5809,(X),(X),44.4,(X),(X),(X),5290,400,0.8,0.5,0.7,0.8,6.6,2.5,8.4,3.4,12.4,4.3,20.4,4.4,16.8,3.7,18.8,3.7,8.7,2.4,6.5,2.5,77848,8940,N,N,(X),(X),(X),(X),(X),(X),2522,588,6,3.2,9.6,4.3,10.8,4.8,12.6,5.2,12.3,4.7,29.2,14.5,11.9,5.3,4.1,2.6,1.9,1.9,1.6,1.2,47161,14015,53435,4625,(X),(X),(X),(X),50.8,(X)
8600000US93063,ZCTA5 93063,19371,601,21.035,3.5,17.2,387.42,2,0.7,1084.776,5.6,1.2,949.179,4.9,0.9,1801.503,9.3,1.9,2692.569,13.9,1.9,2421.375,12.5,1.5,4048.539,20.9,2.2,2770.053,14.3,1.8,2537.601,13.1,1.8,96654,5664,116379,5238,40.6,(X),(X),(X),(X),(X),13999,622,2.7,1,1.3,0.7,4.5,1.2,3.7,0.9,8.3,2.2,12.3,2,12.4,1.7,24.3,3.1,14.9,1.9,15.6,2.1,110898,7821,126839,5623,(X),(X),37.9,(X),(X),(X),10560,598,1.5,0.8,1.2,0.8,3.7,1.5,3.2,0.9,6.1,1.7,11.5,2.2,12,1.8,24.8,3.2,16.8,2.2,19.3,2.6,122814,6648,N,N,(X),(X),(X),(X),(X),(X),5372,499,6,2.3,5.5,2,10.3,2.9,8.3,2.5,14,4.7,16.4,4.5,12.4,3.4,15.4,4,7.4,3.2,4.4,2.4,54977,6156,78213,8868,(X),(X),(X),(X),43.6,(X)
8600000US93064,ZCTA5 93064,0,13,#VALUE!,-,17.2,#VALUE!,-,**,#VALUE!,-,**,#VALUE!,-,**,#VALUE!,-,**,#VALUE!,-,**,#VALUE!,-,**,#VALUE!,-,**,#VALUE!,-,**,#VALUE!,-,**,-,**,-,**,-,(X),(X),(X),(X),(X),0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),-,(X),(X),(X),0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),(X),(X),(X),(X),0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),(X),(X),-,(X)
8600000US93065,ZCTA5 93065,24441,686,14.406,2.1,17.2,562.143,2.3,0.5,977.64,4,0.9,1539.783,6.3,1.4,1857.516,7.6,1.3,2835.156,11.6,1.7,3837.237,15.7,2,5254.815,21.5,1.8,3030.684,12.4,1.3,4032.765,16.5,1.9,100497,3019,129444,6268,36.3,(X),(X),(X),(X),(X),17549,634,2.3,0.8,1.3,0.7,2.1,0.6,4,1.6,5.8,1.2,10.7,1.8,14,1.9,24.3,2.4,14.9,1.6,20.5,2.3,116037,4889,146994,7820,(X),(X),33.3,(X),(X),(X),13330,687,0.6,0.6,0.7,0.5,1.1,0.6,3.1,2,3.9,1.1,8.8,1.9,13.7,2.1,26.6,2.9,16.2,1.8,25.5,2.9,131767,5952,165350,9429,(X),(X),(X),(X),(X),(X),6892,728,3,1.2,5.8,1.8,9.3,2.5,13.4,4.2,13.2,3.7,13.5,3.2,19.3,5.1,14.3,3.4,4.2,1.8,4,2.2,59236,9898,75384,6095,(X),(X),(X),(X),41.6,(X)
8600000US93066,ZCTA5 93066,972,144,1.008,0.7,17.2,4.86,0.5,0.8,22.356,2.3,1.7,59.292,6.1,3.6,77.76,8,4,131.22,13.5,5.1,130.248,13.4,7.3,157.464,16.2,6.2,153.576,15.8,5.4,229.392,23.6,7.3,106900,14266,238382,76734,43.5,(X),(X),(X),(X),(X),827,136,1.9,2,0.6,0.9,0.7,1.1,6.2,4.1,6.5,4.1,11,5.3,15,8.5,16.2,6.8,17.2,6.3,24.7,8.4,108854,20374,261641,92784,(X),(X),42.4,(X),(X),(X),721,127,1,1.4,0.7,1.1,0.8,1.3,6,4.5,7.5,4.6,7.2,4.3,16.5,9.6,17.8,7.4,15.8,5.5,26.8,9.1,111042,19827,N,N,(X),(X),(X),(X),(X),(X),145,56,0,23.8,0,23.8,11,9.8,5.5,6,16.6,14.2,21.4,16.6,4.1,6,15.9,16,12.4,10.8,13.1,15.1,66964,66824,100207,29860,(X),(X),(X),(X),49.7,(X)
8600000US93067,ZCTA5 93067,207,111,0,0,17.2,20.907,10.1,16.4,26.91,13,22.1,0,0,17.5,27.945,13.5,21,26.082,12.6,21,26.082,12.6,17.4,64.998,31.4,29.3,14.076,6.8,11.5,0,0,17.5,75144,45028,76520,25665,13,(X),(X),(X),(X),(X),85,73,0,35.4,0,35.4,0,35.4,0,35.4,32.9,48.3,0,35.4,0,35.4,50.6,50.6,16.5,32.6,0,35.4,113343,72319,100435,38244,(X),(X),0,(X),(X),(X),85,73,0,35.4,0,35.4,0,35.4,0,35.4,32.9,48.3,0,35.4,0,35.4,50.6,50.6,16.5,32.6,0,35.4,113343,72319,N,N,(X),(X),(X),(X),(X),(X),122,82,0,27.3,17.2,26.9,22.1,34.8,0,27.3,0,27.3,21.3,33.3,21.3,29.8,18,29,0,27.3,0,27.3,-,**,59858,32200,(X),(X),(X),(X),22.1,(X)
8600000US93101,ZCTA5 93101,13296,653,33.303,5.1,17.2,717.984,5.4,1.9,811.056,6.1,1.6,731.28,5.5,1.5,2353.392,17.7,3.6,2167.248,16.3,2.6,1595.52,12,1.8,1888.032,14.2,2.3,1116.864,8.4,1.8,1249.824,9.4,1.4,62925,5062,91126,6188,33.1,(X),(X),(X),(X),(X),6477,528,3.9,2,0.9,1,3.5,1.6,11.9,6.1,17.3,3.8,15.1,3.7,9.8,2.5,14.7,3.8,10.9,2.8,11.8,2.4,63364,13947,103440,10777,(X),(X),32.3,(X),(X),(X),4177,359,2.4,2.3,0.5,0.7,1.5,1.1,6.1,4.1,15.3,4,12.9,4.1,11.2,3.2,17.5,4.7,16.5,4.1,16.1,3.6,100257,19458,N,N,(X),(X),(X),(X),(X),(X),6819,495,6.9,2.7,9.6,3.4,9.3,3,4.2,1.5,15,4.3,17.1,3.9,12.8,3,14.2,3.4,5.1,2.2,5.9,2,56081,7493,74378,6252,(X),(X),(X),(X),31,(X)
8600000US93103,ZCTA5 93103,8194,552,18.216,3.3,17.2,221.238,2.7,1.6,376.924,4.6,2.1,229.432,2.8,1.6,1114.384,13.6,4.6,1442.144,17.6,4.3,696.49,8.5,3,1171.742,14.3,3.8,893.146,10.9,2.9,1778.098,21.7,4.4,84853,21003,132474,15262,36.8,(X),(X),(X),(X),(X),4880,484,0.7,0.7,1,1.4,10.5,6.6,2.7,2.2,9.2,3.8,14.3,4.2,7.5,3.3,14.2,4.5,15.9,5.1,24.1,5.6,115135,16251,145810,21186,(X),(X),33.6,(X),(X),(X),3426,444,0.9,1,1.4,2,1.8,2.2,0.8,1,6.3,4.5,15.9,5.3,9.2,4.6,16.3,5.6,15.5,5.4,32,7.3,140263,28264,N,N,(X),(X),(X),(X),(X),(X),3314,392,7.2,4.2,5.3,3.3,6.8,3.8,5,3.6,11.8,6.1,21.5,7,8.3,4,15.6,6.8,4.4,2.7,14.1,5.4,62080,8780,101872,17422,(X),(X),(X),(X),35.7,(X)
8600000US93105,ZCTA5 93105,11390,585,21.645,3.7,17.2,205.02,1.8,0.8,455.6,4,1.6,398.65,3.5,1,808.69,7.1,1.5,1719.89,15.1,2.4,1571.82,13.8,2.4,1811.01,15.9,2.4,1423.75,12.5,2.1,2574.14,22.6,2.5,103156,8525,142920,7736,37.5,(X),(X),(X),(X),(X),6754,455,1.3,0.8,0.7,0.5,2.7,1.8,2,1.1,6.3,2.1,11.1,2.9,12.7,2.7,18.8,3.5,15.9,3.3,28.4,3.3,133446,12891,166914,10528,(X),(X),39.3,(X),(X),(X),5848,454,1.5,0.9,0.3,0.3,2.7,2.2,1.7,1.2,5.2,2,10.4,2.8,11.1,2.7,19,3.6,17.1,3.8,30.9,4,143919,13142,N,N,(X),(X),(X),(X),(X),(X),4636,452,7.3,3.8,3.4,1.7,5.8,2.2,5.5,2,9.4,3.2,22.8,4.7,14.9,4.3,10.9,2.9,7.1,2.7,12.8,4.2,69304,8224,104664,12110,(X),(X),(X),(X),33.2,(X)
8600000US93108,ZCTA5 93108,4409,375,8.625,2.3,17.2,57.317,1.3,1,154.315,3.5,1.8,114.634,2.6,1.5,238.086,5.4,2.7,286.585,6.5,2.5,379.174,8.6,3.3,714.258,16.2,4.1,520.262,11.8,5.4,1834.144,41.6,4.8,165764,42138,251866,22656,37.9,(X),(X),(X),(X),(X),2619,281,1.5,1.6,1.4,1.5,1.3,1.1,0.2,0.3,4.4,3,5.3,3.4,10.5,4.5,15.4,3.8,6.9,2.6,53.2,5.9,207461,23073,306457,33411,(X),(X),35.9,(X),(X),(X),2288,249,1.7,1.8,1,1.5,1.4,1.3,0,1.7,3.2,2.8,5.9,3.8,7.2,2.9,14.5,4.7,7.7,2.9,57.3,6.7,220385,21133,N,N,(X),(X),(X),(X),(X),(X),1790,332,3.4,2.6,1.2,1.1,6.9,4,6.2,3.7,7,4.9,8.3,4.1,6.4,3.8,17.8,7.3,18.7,12.3,24.2,6.5,130417,32225,170147,24656,(X),(X),(X),(X),40.7,(X)
8600000US93109,ZCTA5 93109,4601,341,26.257,7.7,17.2,78.217,1.7,1.4,358.878,7.8,4.1,345.075,7.5,2.8,501.509,10.9,4.5,368.08,8,2.8,308.267,6.7,2.8,878.791,19.1,4.4,427.893,9.3,3.2,975.412,21.2,4.4,99556,10778,136375,16833,41.5,(X),(X),(X),(X),(X),2463,326,4.2,3.2,0.3,0.5,5.1,2.4,5.2,3.9,6.6,4.6,7.7,3.6,4.1,2.5,20.7,5.8,13.2,4.6,32.9,6.4,139213,22556,182162,24936,(X),(X),36.3,(X),(X),(X),1980,279,0,2,0.4,0.6,4.6,2.5,3.6,2.7,4.2,5.2,7.8,3.6,4.6,2.9,19.4,6,15.2,5.4,40.2,7.6,169012,24123,N,N,(X),(X),(X),(X),(X),(X),2138,358,12.5,6.2,3.3,2.9,11,8.1,10.1,3.9,15.4,8.1,9.8,4.7,9.7,5.1,15.4,7,6,3.5,6.6,4.2,47176,7188,80983,14837,(X),(X),(X),(X),47.6,(X)
8600000US93110,ZCTA5 93110,6385,457,31.99,7,17.2,229.86,3.6,1.9,325.635,5.1,2.4,389.485,6.1,1.8,472.49,7.4,2.8,842.82,13.2,3.1,727.89,11.4,3,1277,20,4.9,478.875,7.5,2.8,1206.765,18.9,3.6,93264,7451,128187,10821,36.3,(X),(X),(X),(X),(X),3721,417,3.1,1.9,2.4,2.1,2.1,1.5,2.2,1.6,7.2,3.4,13.2,3.8,12.1,3.5,22.2,6.4,10.5,4.6,25,5.5,107487,12922,156180,14217,(X),(X),33.6,(X),(X),(X),2984,398,1.5,1.8,0,1.3,2.3,1.7,1.4,1.4,5.3,3.1,11.9,4.2,12,4,26.1,7.7,9.7,3.8,29.7,6.2,121268,8757,N,N,(X),(X),(X),(X),(X),(X),2664,387,12.5,6.4,5.1,3.1,9.2,4.9,11.9,4.6,7.7,4.2,15.4,5.1,11,5.5,14.9,6.8,2.6,1.7,9.7,4,54222,12724,84947,14324,(X),(X),(X),(X),39.6,(X)
8600000US93111,ZCTA5 93111,6643,398,12.736,3.2,17.2,152.789,2.3,1.6,126.217,1.9,0.9,292.292,4.4,2.2,577.941,8.7,2.3,591.227,8.9,1.8,936.663,14.1,3.3,1142.596,17.2,2.8,1009.736,15.2,3,1581.034,23.8,4,117480,11856,155288,12791,38.9,(X),(X),(X),(X),(X),4604,365,1.3,1,0.3,0.3,1.1,1,3.3,3,6.7,2.7,7.6,2,12.4,3.2,19.2,3.9,18.8,4.5,29.3,5.2,145139,10791,182133,17210,(X),(X),40.9,(X),(X),(X),3996,383,0,1,0.4,0.4,0.6,0.9,3.6,3.4,5.6,2.4,7.2,2.3,12.9,3.6,19,4.3,18.8,4.9,32.1,5.6,150658,9239,N,N,(X),(X),(X),(X),(X),(X),2039,272,8.1,4.6,6.8,5,4.4,2.1,7.1,3.1,13.7,5.6,14.3,4.3,16.6,8,12.2,4.7,7.8,3.7,9,4.4,65354,11529,85950,11284,(X),(X),(X),(X),32.6,(X)
8600000US93117,ZCTA5 93117,16568,561,67.32,12,17.2,695.856,4.2,1.1,1126.624,6.8,1.3,944.376,5.7,1.4,1607.096,9.7,1.7,2269.816,13.7,2.1,1656.8,10,1.9,2982.24,18,2.2,1408.28,8.5,1.5,1905.32,11.5,1.6,70878,5342,94897,3961,32.6,(X),(X),(X),(X),(X),8282,442,2.1,0.9,2.3,2.1,2.4,1.2,3.6,1.3,10,2.8,14.5,3.2,12.4,2.7,23,3.1,11.4,2.3,18.3,2.4,108185,7884,126477,6029,(X),(X),29.9,(X),(X),(X),6412,431,1.7,1,0.4,0.3,1.1,0.8,2.5,1.3,8.2,3,13.3,3.3,11.5,3.1,25.3,3.6,13.1,2.8,22.9,3.1,119276,9130,N,N,(X),(X),(X),(X),(X),(X),8286,610,22.2,3.3,7.7,2.1,11.3,2.3,8.7,2.5,9.1,2.2,11.3,2.4,8.2,2.2,12.1,2.7,4.9,1.9,4.6,2.1,35094,4489,59939,5870,(X),(X),(X),(X),34.3,(X)
8600000US93201,ZCTA5 93201,321,77,5.775,7.5,17.2,37.878,11.8,6.6,63.879,19.9,14,44.94,14,7.4,33.063,10.3,6.4,67.089,20.9,7.6,36.915,11.5,9.1,12.84,4,3.6,0,0,11.7,0,0,11.7,33688,14956,41592,7921,68.8,(X),(X),(X),(X),(X),258,77,5.8,5.3,10.5,7.2,16.7,17.6,15.5,8.2,8.5,6.5,23.6,9.1,14.3,10.9,5,4.6,0,14.3,0,14.3,43125,20906,45659,9560,(X),(X),64.3,(X),(X),(X),222,75,6.8,6.1,10.8,8,19.4,20,9.5,7.2,7.7,7,25.2,10.1,14.9,12.5,5.9,5.6,0,16.4,0,16.4,44318,22130,N,N,(X),(X),(X),(X),(X),(X),63,23,14.3,14.4,22.2,17.5,28.6,17.6,14.3,14.6,20.6,15.7,0,41.5,0,41.5,0,41.5,0,41.5,0,41.5,20250,7384,21817,5984,(X),(X),(X),(X),87.3,(X)
8600000US93202,ZCTA5 93202,1095,176,2.464,1.4,17.2,59.13,5.4,4.6,83.22,7.6,5.2,164.25,15,9.9,229.95,21,10.2,197.1,18,7.9,251.85,23,11.1,73.365,6.7,5.8,21.9,2,2.9,0,0,3.6,49821,7536,56889,7474,55.3,(X),(X),(X),(X),(X),962,191,4.5,4.3,4.1,4.5,14.4,10.2,14.2,10,13,6.6,20.5,8.7,23.9,12.5,3.1,3.7,2.3,3.4,0,4.1,49898,7095,52935,7750,(X),(X),57.2,(X),(X),(X),708,162,0.6,1,0,5.5,8.6,6.2,15.7,12.5,11.2,8,24.2,10.6,32.5,16,4.2,5.2,3.1,4.7,0,5.5,59583,16342,N,N,(X),(X),(X),(X),(X),(X),133,76,8.3,14,0,25.5,0,25.5,27.1,28.9,15.8,15.4,0,25.5,16.5,18.1,32.3,28.1,0,25.5,0,25.5,-,**,68789,25461,(X),(X),(X),(X),41.4,(X)
8600000US93203,ZCTA5 93203,5077,260,12.74,4.9,17.2,340.159,6.7,2.5,786.935,15.5,3.5,736.165,14.5,3.1,1152.479,22.7,4.4,822.474,16.2,3.2,512.777,10.1,2.8,365.544,7.2,1.9,81.232,1.6,1.1,40.616,0.8,0.8,40045,2906,52007,5004,28.4,(X),(X),(X),(X),(X),4707,236,7.9,2.6,5.7,2.7,15.1,3.8,13.7,3.4,21.6,4.6,16.1,3.4,10.3,3,7.1,2,1.8,1.2,0.7,0.8,40699,2812,52014,5438,(X),(X),28,(X),(X),(X),3254,229,2.4,1.6,3.7,2.2,10.6,3.3,14,4,26,5.8,19.2,4.6,11.8,3.6,8.5,2.8,2.6,1.7,1.1,1.1,45587,3691,N,N,(X),(X),(X),(X),(X),(X),370,103,5.4,5.2,30.8,15.1,20.8,12.4,8.4,7,23.2,12.6,5.1,6.1,4.6,5.3,1.6,2.3,0,10.2,0,10.2,20875,7887,27365,5373,(X),(X),(X),(X),19.2,(X)
8600000US93204,ZCTA5 93204,2752,259,13.468,5.2,17.2,126.592,4.6,3.9,258.688,9.4,5.1,368.768,13.4,6,492.608,17.9,8.4,734.784,26.7,9.4,426.56,15.5,8,112.832,4.1,3,90.816,3.3,3.9,0,0,1.4,49781,7418,54498,6506,38.8,(X),(X),(X),(X),(X),2380,242,4.8,3.2,5.1,4.5,10.8,5.8,11.8,5.3,18.9,9.6,28,10.6,14.1,8.7,2.5,2.3,3.8,4.5,0,1.7,49211,5849,53004,7156,(X),(X),40.1,(X),(X),(X),1604,265,1.6,2.5,6.9,6.5,9.9,6.7,7.5,5.7,20,12.3,26.4,13.5,19.5,13,2.5,3,5.7,6.6,0,2.5,52324,6442,N,N,(X),(X),(X),(X),(X),(X),372,160,7.3,9.8,8.1,12.2,0,10.2,45.4,22.8,2.4,4.5,15.9,17,6.5,10.4,14.5,16.1,0,10.2,0,10.2,33182,16255,50480,18422,(X),(X),(X),(X),18.8,(X)
8600000US93205,ZCTA5 93205,881,187,25.058,13.4,17.2,121.578,13.8,10.5,266.062,30.2,15.7,44.931,5.1,5,118.935,13.5,11,49.336,5.6,4.7,94.267,10.7,8.5,60.789,6.9,5.6,7.048,0.8,2.4,0,0,4.4,23051,4923,36686,9277,36.1,(X),(X),(X),(X),(X),535,168,0,7.2,19.4,13.5,32.9,20.7,0,7.2,10.3,13.9,9.2,8,15.5,13,11.4,9.1,1.3,4.2,0,7.2,-,**,45944,12776,(X),(X),32.1,(X),(X),(X),480,164,0,8,14.2,16.4,32.7,22.6,0,8,11.5,15.5,10.2,9.4,17.3,14.8,12.7,10.2,1.5,4.7,0,8,43182,41834,N,N,(X),(X),(X),(X),(X),(X),346,152,34.1,25.1,15.6,15.6,15.6,13.8,13,11.7,18.5,17,0,10.9,3.2,7.1,0,10.9,0,10.9,0,10.9,20139,18098,21208,10167,(X),(X),(X),(X),42.2,(X)
8600000US93206,ZCTA5 93206,504,103,7.931,7.7,17.2,53.928,10.7,9.7,46.872,9.3,5.9,57.96,11.5,6.5,105.84,21,8.1,102.816,20.4,8.8,42.84,8.5,5.3,29.232,5.8,5,10.08,2,2.9,15.12,3,2.6,43889,6718,55381,11240,33.3,(X),(X),(X),(X),(X),412,91,5.1,3.9,11.7,11.6,10.7,7.1,19.9,9.1,21.1,9.5,15,7.9,6.8,5.2,4.4,4.9,2.4,3.6,2.9,3,36100,7928,52265,12587,(X),(X),37.6,(X),(X),(X),260,71,0.4,1,16.2,17.6,9.2,7.8,18.8,11,11.2,7.8,20.4,11.6,8.5,7.7,6.9,7.8,3.8,5.7,4.6,4.7,42500,19722,N,N,(X),(X),(X),(X),(X),(X),92,47,19.6,20.6,6.5,12.1,3.3,4.8,3.3,5,39.1,26.3,3.3,5.3,16.3,17.4,5.4,5.5,0,33.6,3.3,5.6,43864,4587,53159,19568,(X),(X),(X),(X),13,(X)
8600000US93207,ZCTA5 93207,100,47,15.98,34,17.2,2,2,3.5,30,30,17.2,7,7,10.9,6,6,7,3,3,6.1,6,6,9.3,5,5,9.2,0,0,31.7,7,7,11.1,20500,7631,46100,33733,32,(X),(X),(X),(X),(X),65,37,32.3,24.3,0,40.8,18.5,17.8,10.8,16.5,6.2,8.9,4.6,9.1,9.2,14.1,7.7,13.9,0,40.8,10.8,17.2,-,**,62711,51099,(X),(X),30.8,(X),(X),(X),60,35,26.7,25.6,0,42.5,20,19.2,11.7,17.8,6.7,9.8,5,9.9,10,15.3,8.3,14.9,0,42.5,11.7,18.5,-,**,N,N,(X),(X),(X),(X),(X),(X),35,24,37.1,32.9,5.7,10.2,51.4,32.9,0,55.6,5.7,11.8,0,55.6,0,55.6,0,55.6,0,55.6,0,55.6,18542,16172,14851,7058,(X),(X),(X),(X),34.3,(X)
8600000US93208,ZCTA5 93208,88,105,81.165,77.3,17.2,0,0,34.6,0,0,34.6,0,0,34.6,0,0,34.6,0,0,34.6,19.976,22.7,48.2,0,0,34.6,0,0,34.6,0,0,34.6,-,**,N,N,22.7,(X),(X),(X),(X),(X),20,30,0,73.6,0,73.6,0,73.6,0,73.6,0,73.6,0,73.6,100,73.6,0,73.6,0,73.6,0,73.6,-,**,N,N,(X),(X),100,(X),(X),(X),20,30,0,73.6,0,73.6,0,73.6,0,73.6,0,73.6,0,73.6,100,73.6,0,73.6,0,73.6,0,73.6,-,**,N,N,(X),(X),(X),(X),(X),(X),68,102,100,39.9,0,39.9,0,39.9,0,39.9,0,39.9,0,39.9,0,39.9,0,39.9,0,39.9,0,39.9,-,**,N,N,(X),(X),(X),(X),0,(X)
8600000US93210,ZCTA5 93210,4896,319,23.287,7.3,17.2,156.672,3.2,1.5,425.952,8.7,2.7,504.288,10.3,3.3,656.064,13.4,3.9,783.36,16,3.9,827.424,16.9,3.8,651.168,13.3,3.5,318.24,6.5,2.5,220.32,4.5,1.7,61808,4806,79322,7781,43.9,(X),(X),(X),(X),(X),3630,237,5.4,2.1,2.6,1.8,8.6,3.4,12.3,4.5,12.6,4.1,12,4,19.1,4.8,14.5,4.6,7.7,3.2,5.2,2.3,65930,11871,86072,10015,(X),(X),45.1,(X),(X),(X),2272,218,1.1,1.4,1.3,1.6,6.2,4.2,8.1,3.7,8.7,3.9,12.6,4.8,25.9,6.9,19.5,6.2,10,4.3,6.6,3.3,88137,10268,N,N,(X),(X),(X),(X),(X),(X),1266,285,14.3,6.9,5.1,3,10.2,5.3,7.4,5.4,15.2,11.2,24.4,10.4,11.5,10.4,6.3,4.1,3.2,3.1,2.4,3.2,41923,26912,55981,10753,(X),(X),(X),(X),37,(X)
8600000US93212,ZCTA5 93212,4014,315,41.58,13.2,17.2,172.602,4.3,2.7,622.17,15.5,3.8,417.456,10.4,3.6,590.058,14.7,3.9,686.394,17.1,4.6,401.4,10,2.8,461.61,11.5,3.6,80.28,2,1.3,56.196,1.4,1.6,42983,6467,54431,5719,62.7,(X),(X),(X),(X),(X),3179,202,10.9,6.1,4.3,3.2,13.3,4.2,10.6,4.3,16.8,4.5,18.4,5.3,10.7,3.2,11.3,3.9,1.9,1.4,1.7,2.1,45204,5956,57069,6995,(X),(X),65.2,(X),(X),(X),1845,207,2.6,2.4,2.8,4,9.1,4.5,12,5.8,19.5,6.1,18.3,7.7,13.2,4.7,16.3,6.1,3.3,2.4,3,3.5,53342,16879,N,N,(X),(X),(X),(X),(X),(X),835,205,24.1,9.3,7.8,5.1,25.1,10.2,10.8,9.5,8.7,5.4,11.5,7.1,4,3.2,5.5,4.4,2.5,3.9,0,4.7,19572,5910,34668,8582,(X),(X),(X),(X),44.2,(X)
8600000US93215,ZCTA5 93215,12230,670,37.52,5.6,17.2,733.8,6,2.1,1846.73,15.1,3.2,1565.44,12.8,3,1540.98,12.6,2.5,2250.32,18.4,3.1,1748.89,14.3,2.8,1100.7,9,2.6,562.58,4.6,1.5,195.68,1.6,0.8,46752,5009,60886,4179,29,(X),(X),(X),(X),(X),10555,563,2.4,1.2,3.4,1.5,15,3.3,13.4,3.2,14.9,2.8,18.4,3.7,16.8,3.3,9.2,3.1,4.9,1.6,1.5,0.8,50568,4262,63296,4105,(X),(X),29.3,(X),(X),(X),7822,571,1.1,1.1,3.3,1.9,11.6,4.1,12,3.8,15.1,3.3,19.5,4.2,18.3,3.9,10.9,3.9,6.1,2.2,2,1,58122,6203,N,N,(X),(X),(X),(X),(X),(X),1675,383,26.7,10.8,21,10.2,20.5,8.1,7.9,4.8,5.1,4.7,10,6.3,1.3,1.5,6.7,4.7,0.2,0.3,0.7,1.1,16619,6407,35592,12160,(X),(X),(X),(X),22.3,(X)
8600000US93218,ZCTA5 93218,196,45,4.14,9.2,17.2,21.952,11.2,7.8,41.944,21.4,11.4,30.968,15.8,11,12.936,6.6,7.8,58.996,30.1,13.9,0,0,18.4,9.016,4.6,3.7,1.96,1,2.7,0,0,18.4,26905,10944,39105,7707,43.9,(X),(X),(X),(X),(X),149,46,7.4,8.9,6,7.5,22.1,12.7,15.4,12,13.4,12.4,28.2,17,0,23.2,7.4,6.5,0,23.2,0,23.2,34250,14118,40812,8305,(X),(X),43.6,(X),(X),(X),103,38,4.9,9.6,2.9,6.6,19.4,15.1,22.3,15.6,14.6,16.9,27.2,18.8,0,31.1,8.7,7,0,31.1,0,31.1,37656,16118,N,N,(X),(X),(X),(X),(X),(X),47,27,14.9,21.8,27.7,23.8,40.4,29.4,17,24.6,0,48,0,48,0,48,0,48,0,48,0,48,15795,3564,17330,3536,(X),(X),(X),(X),44.7,(X)
